startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,hasPeriphery_2.started,hasPeriphery_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,noPeriphery_2.started,noPeriphery_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.482884700002614,None,Sadness,test,choice,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
,,,,,,,,,,,,,,,,,,9.549374700000044,None,1,[2.5332358999876305],[2.533240899996599],12.048691100004362,None,space,0.9685435999999754,12.048691100004362,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13.265084800019395,None,space,0.41559580000466667,13.265084800019395,None,13.265084800019395,None,13.265084800019395,None,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,13.964987300016219,None,space,0.2121208000171464,13.964987300016219,None,13.964987300016219,None,13.964987300016219,None,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,14.498171100014588,None,space,0.1989674000069499,14.498171100014588,None,14.498171100014588,None,14.498171100014588,None,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,14.982205200009048,None,space,0.29877740002120845,14.982205200009048,None,14.982205200009048,None,14.982205200009048,None,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,15.582156899996335,None,space,0.21108189999358729,15.582156899996335,None,15.582156899996335,None,15.582156899996335,None,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,16.081213900004514,None,space,0.2887094000179786,16.081213900004514,None,16.081213900004514,None,16.081213900004514,None,,,,,,,,,,,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4b.png,b,,,,,0,0,0,0,16.448177000012947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,18.63107870001113,None,space,1.0585308999870904,18.63107870001113,None,18.63107870001113,None,18.63107870001113,None,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\5start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\5a.png,a,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.013747899996815,None,space,0.4519002999877557,20.013747899996815,None,20.013747899996815,None,20.013747899996815,None,,001,2021_Jul_09_1318,UniformityIllusion,2021.1.4,60.00726087796803,
