startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.503051599982427,None,Sadness,test,choice,None,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
,,,,,,,,,,,,,,,,,,9.568118700000923,None,1,[0.9334115999809001],[0.9334179999714252],10.450964799994836,None,space,0.35846800002036616,10.450964799994836,None,,,,,,,,,,,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,11.001560400007293,None,space,0.9516962000052445,11.001560400007293,None,11.001560400007293,None,11.001560400007293,None,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,12.2515476999979,None,space,0.3588626999990083,12.2515476999979,None,12.2515476999979,None,12.2515476999979,None,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,12.967852200003108,None,space,0.5950454999983776,12.967852200003108,None,12.967852200003108,None,12.967852200003108,None,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,13.86695910000708,None,space,0.35071199998492375,13.86695910000708,None,13.86695910000708,None,13.86695910000708,None,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,14.517395500006387,None,space,0.4120295000029728,14.517395500006387,None,14.517395500006387,None,14.517395500006387,None,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,15.200580799981253,None,space,0.47291349997976795,15.200580799981253,None,15.200580799981253,None,15.200580799981253,None,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1257,UniformityIllusion,2021.1.4,60.29602938324256,
