PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.8964334999909624,None,9.879699599987362,None,space,0.8917866999981925,9.879699599987362,None,,,t,001,2021_Jul_01_1035,UniformityIllusion,2021.1.4,60.04567073540907,
0,0,0,0,,,,,,,,,10.861808299960103,None,t,001,2021_Jul_01_1035,UniformityIllusion,2021.1.4,60.04567073540907,
