PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,ImageFile,OldNew,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,386.0667356000049,None,Sadness,test,radio,None,None,,,,,,,,,,,,v,001,2021_Jul_08_1625,UniformityIllusion,2021.1.4,60.004740375657875,
,,,,,,,,,,,,,388.13257099999464,None,1,[1.0999490999965928],[1.0999529999971855],389.1997061000002,None,space,0.7167980999947758,389.1997061000002,None,v,001,2021_Jul_08_1625,UniformityIllusion,2021.1.4,60.004740375657875,
