PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.580882800000836,None,Sadness,test,radio,None,None,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_08_1504,UniformityIllusion,2021.1.4,60.1522935775798,
,,,,,,,,,,,17.631007999996655,None,1,[1.2329405999917071],[1.2329446999938227],18.81396840000525,None,space,1.4945207999990089,18.81396840000525,None,,,,,,,,,,,s,001,2021_Jul_08_1504,UniformityIllusion,2021.1.4,60.1522935775798,
0,0,0,0,,,,,,,,,,,,,,,,,,,20.44680890000018,None,20.44680890000018,None,space,3.134415100008482,20.44680890000018,None,20.44680890000018,None,s,001,2021_Jul_08_1504,UniformityIllusion,2021.1.4,60.1522935775798,
1,0,1,0,,,,,,,,,,,,,,,,,,,23.78001079999376,None,23.78001079999376,None,space,2.0254876999970293,23.78001079999376,None,23.78001079999376,None,s,001,2021_Jul_08_1504,UniformityIllusion,2021.1.4,60.1522935775798,
2,0,2,0,,,,,,,,,,,,,,,,,,,26.079200399995898,None,26.079200399995898,None,space,3.9903888999979245,26.079200399995898,None,26.079200399995898,None,s,001,2021_Jul_08_1504,UniformityIllusion,2021.1.4,60.1522935775798,
