PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.70810259999962,None,10.691910199999711,None,space,0.26333329999988564,10.691910199999711,None,,,,,,,,,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
0,0,0,0,,,,,,,,,,,,,11.041863799999646,None,11.041863799999646,None,space,0.9059460000003128,11.041863799999646,None,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
1,0,1,0,,,,,,,,,,,,,12.05769569999984,None,12.05769569999984,None,space,1.9308345999997982,12.05769569999984,None,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
2,0,2,0,,,,,,,,,,,,,14.074914999999692,None,14.074914999999692,None,space,2.8004384999999274,14.074914999999692,None,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
3,0,3,0,,,,,,,,,,,,,16.97430059999988,None,16.97430059999988,None,space,2.0134023999999044,16.97430059999988,None,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
4,0,4,0,,,,,,,,,,,,,19.10727179999958,None,19.10727179999958,None,space,1.6487228999999388,19.10727179999958,None,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1538,UniformityIllusion,2021.1.4,59.641530544683235,
